pathway	collection	comparison	method	source	rank_metric	ES	NES	pvalue	padj	FWER	size	output_label	report_side	source_file	rank_at_max	leading_edge	core_enrichment	direction	significant_fdr_0_25	significant_fdr_0_05
GOBP_ANTIFUNGAL_INNATE_IMMUNE_RESPONSE	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.34409657	-0.96439224	0.5131376	0.67184365	1	16	GSEA_Tumor_vs_Normal_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	2580	tags=25%, list=14%, signal=29%		negative	FALSE	FALSE
GOBP_NEGATIVE_REGULATION_OF_MYOBLAST_DIFFERENTIATION	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.3103923	-0.96420956	0.50734097	0.6719246	1	25	GSEA_Tumor_vs_Normal_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	5655	tags=44%, list=31%, signal=64%		negative	FALSE	FALSE
GOBP_PROTEIN_LOCALIZATION_TO_CILIUM	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.2501216	-0.9637962	0.5393419	0.6719331	1	78	GSEA_Tumor_vs_Normal_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	4169	tags=27%, list=23%, signal=35%		negative	FALSE	FALSE
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.29532355	-0.96447676	0.5185185	0.67197573	1	33	GSEA_Tumor_vs_Normal_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	3599	tags=24%, list=20%, signal=30%		negative	FALSE	FALSE
GOBP_ARACHIDONATE_METABOLIC_PROCESS	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.25771898	-0.96472764	0.51054853	0.6719941	1	55	GSEA_Tumor_vs_Normal_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	4393	tags=25%, list=24%, signal=33%		negative	FALSE	FALSE
GOBP_ORGANELLE_MEMBRANE_FUSION	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.23063275	-0.9644823	0.5300128	0.6722663	1	126	GSEA_Tumor_vs_Normal_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	3829	tags=24%, list=21%, signal=30%		negative	FALSE	FALSE
GOBP_CALCIUM_ION_REGULATED_EXOCYTOSIS	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.26011422	-0.96343035	0.5381415	0.6724651	1	65	GSEA_Tumor_vs_Normal_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	2412	tags=18%, list=13%, signal=21%		negative	FALSE	FALSE
GOBP_POSITIVE_T_CELL_SELECTION	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.27020088	-0.9626778	0.51374817	0.6738464	1	50	GSEA_Tumor_vs_Normal_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	6095	tags=36%, list=33%, signal=54%		negative	FALSE	FALSE
GOBP_REGULATION_OF_TUMOR_NECROSIS_FACTOR_MEDIATED_SIGNALING_PATHWAY	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.2318076	0.98312205	0.50352114	0.6750163	1	64	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	4331	tags=34%, list=24%, signal=45%		positive	FALSE	FALSE
GOBP_NEUTROPHIL_MEDIATED_IMMUNITY	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.27949134	-0.96181625	0.5422222	0.67552066	1	39	GSEA_Tumor_vs_Normal_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	2067	tags=18%, list=11%, signal=20%		negative	FALSE	FALSE
