sample	correlation	sample_ordered	median_r	n_shared_samples	n_shared_features	n_features_used
TCGA-A2-A0D3-01	0.317997791682618	TCGA-A2-A0D3-01	0.233779438951853	637	149	146
TCGA-A7-A0DB-01	0.317810812886013	TCGA-A7-A0DB-01	0.233779438951853	637	149	146
TCGA-A8-A086-01	0.317694063926941	TCGA-A8-A086-01	0.233779438951853	637	149	146
TCGA-A2-A0YH-01	0.317621553320057	TCGA-A2-A0YH-01	0.233779438951853	637	149	146
TCGA-EW-A1J3-01	0.316304959408408	TCGA-EW-A1J3-01	0.233779438951853	637	149	146
TCGA-AO-A129-01	0.314848675108221	TCGA-AO-A129-01	0.233779438951853	637	149	146
TCGA-AR-A1AS-01	0.314309388894855	TCGA-AR-A1AS-01	0.233779438951853	637	149	146
TCGA-GM-A2DM-01	0.31381552308464	TCGA-GM-A2DM-01	0.233779438951853	637	149	146
TCGA-A2-A0CY-01	0.313476841200499	TCGA-A2-A0CY-01	0.233779438951853	637	149	146
TCGA-D8-A27F-01	0.313383168555582	TCGA-D8-A27F-01	0.233779438951853	637	149	146
TCGA-A2-A0CW-01	0.31314359943316	TCGA-A2-A0CW-01	0.233779438951853	637	149	146
TCGA-D8-A27L-01	0.312935996713895	TCGA-D8-A27L-01	0.233779438951853	637	149	146
TCGA-E9-A1N4-01	0.312782961143147	TCGA-E9-A1N4-01	0.233779438951853	637	149	146
TCGA-A2-A04W-01	0.312474413478192	TCGA-A2-A04W-01	0.233779438951853	637	149	146
TCGA-AN-A0FJ-01	0.311718626987876	TCGA-AN-A0FJ-01	0.233779438951853	637	149	146
TCGA-BH-A0HK-01	0.311644142304652	TCGA-BH-A0HK-01	0.233779438951853	637	149	146
TCGA-E2-A1LK-01	0.311358233579589	TCGA-E2-A1LK-01	0.233779438951853	637	149	146
TCGA-AO-A1KT-01	0.311253427431058	TCGA-AO-A1KT-01	0.233779438951853	637	149	146
TCGA-AR-A1AQ-01	0.31027790899071	TCGA-AR-A1AQ-01	0.233779438951853	637	149	146
TCGA-D8-A1XW-01	0.310063499718672	TCGA-D8-A1XW-01	0.233779438951853	637	149	146
TCGA-A8-A06U-01	0.309705774102659	TCGA-A8-A06U-01	0.233779438951853	637	149	146
TCGA-C8-A1HO-01	0.309508881922675	TCGA-C8-A1HO-01	0.233779438951853	637	149	146
TCGA-D8-A27M-01	0.308978377943895	TCGA-D8-A27M-01	0.233779438951853	637	149	146
TCGA-A7-A0CE-01	0.308158467326621	TCGA-A7-A0CE-01	0.233779438951853	637	149	146
TCGA-E9-A22A-01	0.307398922916164	TCGA-E9-A22A-01	0.233779438951853	637	149	146
TCGA-BH-A0DD-01	0.307009040908117	TCGA-BH-A0DD-01	0.233779438951853	637	149	146
TCGA-E9-A1N9-01	0.306145004420867	TCGA-E9-A1N9-01	0.233779438951853	637	149	146
TCGA-AO-A03P-01	0.306052497689978	TCGA-AO-A03P-01	0.233779438951853	637	149	146
TCGA-E2-A1L6-01	0.305615114571621	TCGA-E2-A1L6-01	0.233779438951853	637	149	146
TCGA-AN-A04A-01	0.305572558598763	TCGA-AN-A04A-01	0.233779438951853	637	149	146
TCGA-BH-A1FC-01	0.304162254164777	TCGA-BH-A1FC-01	0.233779438951853	637	149	146
TCGA-A8-A081-01	0.302090222012282	TCGA-A8-A081-01	0.233779438951853	637	149	146
TCGA-A2-A0CS-01	0.300799382773905	TCGA-A2-A0CS-01	0.233779438951853	637	149	146
TCGA-AO-A0J2-01	0.300069477385004	TCGA-AO-A0J2-01	0.233779438951853	637	149	146
TCGA-E9-A22B-01	0.29978327685016	TCGA-E9-A22B-01	0.233779438951853	637	149	146
TCGA-AR-A1AY-01	0.299708707290191	TCGA-AR-A1AY-01	0.233779438951853	637	149	146
TCGA-A8-A0A7-01	0.298669794786197	TCGA-A8-A0A7-01	0.233779438951853	637	149	146
TCGA-AO-A0JE-01	0.298590773106597	TCGA-AO-A0JE-01	0.233779438951853	637	149	146
TCGA-AN-A0XU-01	0.298290520068573	TCGA-AN-A0XU-01	0.233779438951853	637	149	146
TCGA-E2-A14W-01	0.297740513304991	TCGA-E2-A14W-01	0.233779438951853	637	149	146
TCGA-AO-A0JG-01	0.296681624940954	TCGA-AO-A0JG-01	0.233779438951853	637	149	146
TCGA-A2-A0T2-01	0.2963430955755	TCGA-A2-A0T2-01	0.233779438951853	637	149	146
TCGA-AO-A03N-01	0.296028475858744	TCGA-AO-A03N-01	0.233779438951853	637	149	146
TCGA-A2-A0EY-01	0.295963525393315	TCGA-A2-A0EY-01	0.233779438951853	637	149	146
TCGA-C8-A12O-01	0.295244843331759	TCGA-C8-A12O-01	0.233779438951853	637	149	146
TCGA-A7-A13F-01	0.294977168949772	TCGA-A7-A13F-01	0.233779438951853	637	149	146
TCGA-B6-A0RU-01	0.294743243921616	TCGA-B6-A0RU-01	0.233779438951853	637	149	146
TCGA-AR-A24Q-01	0.294498030704927	TCGA-AR-A24Q-01	0.233779438951853	637	149	146
TCGA-EW-A1OW-01	0.294152399324813	TCGA-EW-A1OW-01	0.233779438951853	637	149	146
TCGA-D8-A1JG-01	0.293861319288509	TCGA-D8-A1JG-01	0.233779438951853	637	149	146
TCGA-A2-A1G0-01	0.293798730005627	TCGA-A2-A1G0-01	0.233779438951853	637	149	146
TCGA-BH-A0B9-01	0.293717524799244	TCGA-BH-A0B9-01	0.233779438951853	637	149	146
TCGA-AO-A124-01	0.293289035760755	TCGA-AO-A124-01	0.233779438951853	637	149	146
TCGA-D8-A147-01	0.293008974964572	TCGA-D8-A147-01	0.233779438951853	637	149	146
TCGA-A2-A0T5-01	0.29061565107857	TCGA-A2-A0T5-01	0.233779438951853	637	149	146
TCGA-C8-A26V-01	0.290270074752833	TCGA-C8-A26V-01	0.233779438951853	637	149	146
TCGA-AN-A0XO-01	0.289584317430326	TCGA-AN-A0XO-01	0.233779438951853	637	149	146
TCGA-E2-A152-01	0.289552826326563	TCGA-E2-A152-01	0.233779438951853	637	149	146
TCGA-A2-A0EO-01	0.288876336160881	TCGA-A2-A0EO-01	0.233779438951853	637	149	146
TCGA-A8-A09M-01	0.288716628008158	TCGA-A8-A09M-01	0.233779438951853	637	149	146
TCGA-A7-A0DA-01	0.288261691072272	TCGA-A7-A0DA-01	0.233779438951853	637	149	146
TCGA-D8-A1JE-01	0.28759803793571	TCGA-D8-A1JE-01	0.233779438951853	637	149	146
TCGA-BH-A0C0-01	0.287567201589654	TCGA-BH-A0C0-01	0.233779438951853	637	149	146
TCGA-C8-A12Q-01	0.286313179026925	TCGA-C8-A12Q-01	0.233779438951853	637	149	146
TCGA-C8-A12X-01	0.282490946307668	TCGA-C8-A12X-01	0.233779438951853	637	149	146
TCGA-AO-A12B-01	0.282300309302126	TCGA-AO-A12B-01	0.233779438951853	637	149	146
TCGA-AN-A0AL-01	0.28174752351559	TCGA-AN-A0AL-01	0.233779438951853	637	149	146
TCGA-A8-A09Z-01	0.281696627589287	TCGA-A8-A09Z-01	0.233779438951853	637	149	146
TCGA-AR-A1AT-01	0.281002991654857	TCGA-AR-A1AT-01	0.233779438951853	637	149	146
TCGA-A2-A0CT-01	0.280381870125622	TCGA-A2-A0CT-01	0.233779438951853	637	149	146
TCGA-AN-A0FF-01	0.279995551877352	TCGA-AN-A0FF-01	0.233779438951853	637	149	146
TCGA-C8-A27A-01	0.278416403842681	TCGA-C8-A27A-01	0.233779438951853	637	149	146
TCGA-AN-A0AM-01	0.27765957656245	TCGA-AN-A0AM-01	0.233779438951853	637	149	146
TCGA-A7-A13D-01	0.277157140607778	TCGA-A7-A13D-01	0.233779438951853	637	149	146
TCGA-AN-A0XW-01	0.276460399937018	TCGA-AN-A0XW-01	0.233779438951853	637	149	146
TCGA-D8-A1Y1-01	0.27598665702114	TCGA-D8-A1Y1-01	0.233779438951853	637	149	146
TCGA-E2-A1BD-01	0.275558967091797	TCGA-E2-A1BD-01	0.233779438951853	637	149	146
TCGA-D8-A142-01	0.274183469319403	TCGA-D8-A142-01	0.233779438951853	637	149	146
TCGA-A1-A0SJ-01	0.273086915446386	TCGA-A1-A0SJ-01	0.233779438951853	637	149	146
TCGA-A2-A0YD-01	0.272012281530468	TCGA-A2-A0YD-01	0.233779438951853	637	149	146
TCGA-AN-A0AS-01	0.270233831977929	TCGA-AN-A0AS-01	0.233779438951853	637	149	146
TCGA-E2-A15O-01	0.270042385099313	TCGA-E2-A15O-01	0.233779438951853	637	149	146
TCGA-GM-A2DO-01	0.269634946582954	TCGA-GM-A2DO-01	0.233779438951853	637	149	146
TCGA-A2-A04Y-01	0.267843910254332	TCGA-A2-A04Y-01	0.233779438951853	637	149	146
TCGA-E2-A15R-01	0.267442661476391	TCGA-E2-A15R-01	0.233779438951853	637	149	146
TCGA-E2-A1LB-01	0.267311979857039	TCGA-E2-A1LB-01	0.233779438951853	637	149	146
TCGA-AR-A24N-01	0.266984433510738	TCGA-AR-A24N-01	0.233779438951853	637	149	146
TCGA-C8-A137-01	0.266629533370399	TCGA-C8-A137-01	0.233779438951853	637	149	146
