gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	gene_id	pvalue	padj	stat	layer	significant	direction	comparison	reference	contrast	method
FOXP3	-0.886929496463071	6.00139269230769	-7.7333942538241	3.22301252090455e-14	1.14793701358504e-13	21.1471558260468	FOXP3	FOXP3	3.22301252090455e-14	1.14793701358504e-13	-7.7333942538241	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
TMEM143	0.370768242872693	6.74358615384615	7.73195993168683	3.2566702547225e-14	1.1596970152792e-13	21.1369404200859	TMEM143	TMEM143	3.2566702547225e-14	1.1596970152792e-13	7.73195993168683	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
SKI	-0.325816981938845	10.8203398717949	-7.73002667829647	3.3029476074168e-14	1.17594534907422e-13	21.1230714186197	SKI	SKI	3.3029476074168e-14	1.17594534907422e-13	-7.73002667829647	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
SH3D19	0.479873017038631	10.0809829487179	7.72971450120448	3.31092440152135e-14	1.17855386756687e-13	21.1207070448669	SH3D19	SH3D19	3.31092440152135e-14	1.17855386756687e-13	7.72971450120448	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
GCC2	0.409764117532246	10.0300435897436	7.72911601837828	3.32497048507253e-14	1.18332135696663e-13	21.116539449658	GCC2	GCC2	3.32497048507253e-14	1.18332135696663e-13	7.72911601837828	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
ZBTB25	0.341343928647788	6.52619423076923	7.72759313613649	3.3621227231397e-14	1.19630859367615e-13	21.1056176158467	ZBTB25	ZBTB25	3.3621227231397e-14	1.19630859367615e-13	7.72759313613649	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
GSDMD	0.577421397298739	10.0854737179487	7.72723769657582	3.37146981776792e-14	1.19939906448812e-13	21.1028977793978	GSDMD	GSDMD	3.37146981776792e-14	1.19939906448812e-13	7.72723769657582	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
AGBL5	-0.378266107697605	9.36227128205128	-7.72697925571944	3.37721435881712e-14	1.20120696705897e-13	21.1012154995173	AGBL5	AGBL5	3.37721435881712e-14	1.20120696705897e-13	-7.72697925571944	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
EIF3K	-0.33165085007297	11.2938112820513	-7.72447648344798	3.43943635338e-14	1.22309811005151e-13	21.0832713067353	EIF3K	EIF3K	3.43943635338e-14	1.22309811005151e-13	-7.72447648344798	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
TPRA1	-0.291133085453479	9.31135923076923	-7.72409797979096	3.44894423017704e-14	1.2262386732473e-13	21.0805579731744	TPRA1	TPRA1	3.44894423017704e-14	1.2262386732473e-13	-7.72409797979096	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
AMZ2P1	0.45657745563726	7.60518705128205	7.7233502566294	3.46780294399095e-14	1.23265651319488e-13	21.0751981955022	AMZ2P1	AMZ2P1	3.46780294399095e-14	1.23265651319488e-13	7.7233502566294	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
NFKB2	-0.438147381923981	9.76597333333333	-7.72333081017368	3.46835505202002e-14	1.23265651319488e-13	21.0750425744273	NFKB2	NFKB2	3.46835505202002e-14	1.23265651319488e-13	-7.72333081017368	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
SLC5A1	-1.91673105159929	6.06980230769231	-7.7232144687705	3.47187282982227e-14	1.23366488694331e-13	21.0740542886476	SLC5A1	SLC5A1	3.47187282982227e-14	1.23366488694331e-13	-7.7232144687705	RNAseq	TRUE	ER_negative_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
RBM7	-0.412906142462745	8.61153320512821	-7.72289706523838	3.47928253389792e-14	1.23605551748061e-13	21.0719498768681	RBM7	RBM7	3.47928253389792e-14	1.23605551748061e-13	-7.72289706523838	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
YWHAH	-0.318637923758351	11.8768758974359	-7.72165444512508	3.51095122608596e-14	1.24706180990816e-13	21.0630440460991	YWHAH	YWHAH	3.51095122608596e-14	1.24706180990816e-13	-7.72165444512508	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
IDO2	-0.708102703129794	1.16464192307692	-7.72065068985086	3.53673957252353e-14	1.2559755477038e-13	21.0558510521455	IDO2	IDO2	3.53673957252353e-14	1.2559755477038e-13	-7.72065068985086	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
MTCP1	-0.457084802796088	4.71274102564103	-7.72024789593935	3.54714049365684e-14	1.25942244436947e-13	21.0529648230036	MTCP1	MTCP1	3.54714049365684e-14	1.25942244436947e-13	-7.72024789593935	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
MAX	0.268461332602085	10.4160003846154	7.72001623685013	3.55313602608038e-14	1.26130415149425e-13	21.0513049229392	MAX	MAX	3.55313602608038e-14	1.26130415149425e-13	7.72001623685013	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
C8orf37	0.496320881398788	6.50592551282051	7.71780966065198	3.61074691072252e-14	1.28150412577307e-13	21.0354963499029	C8orf37	C8orf37	3.61074691072252e-14	1.28150412577307e-13	7.71780966065198	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
SLC22A10	0.783711800630236	0.908969487179487	7.7170628966093	3.63067487312719e-14	1.28832461880843e-13	21.0300897728518	SLC22A10	SLC22A10	3.63067487312719e-14	1.28832461880843e-13	7.7170628966093	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
UGT1A6	-1.44970794392958	1.26492166666667	-7.71670121936118	3.64069616907001e-14	1.29162780526556e-13	21.0273865558465	UGT1A6	UGT1A6	3.64069616907001e-14	1.29162780526556e-13	-7.71670121936118	RNAseq	TRUE	ER_negative_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
AKAP11	0.446271542773223	10.3618970512821	7.7154055754591	3.6748078569849e-14	1.30347469456621e-13	21.0182147989383	AKAP11	AKAP11	3.6748078569849e-14	1.30347469456621e-13	7.7154055754591	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
ALG13	0.321556805696273	8.78910051282051	7.71452753967813	3.69814544385448e-14	1.3114960632167e-13	21.0119894266197	ALG13	ALG13	3.69814544385448e-14	1.3114960632167e-13	7.71452753967813	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
ZHX3	0.408945954136044	9.39204	7.71203010132298	3.76604226016974e-14	1.33531351720355e-13	20.9941082390554	ZHX3	ZHX3	3.76604226016974e-14	1.33531351720355e-13	7.71203010132298	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
TFAP2E	-0.716039319941632	3.69622051282051	-7.71142100273031	3.78278699033375e-14	1.34098837207197e-13	20.9897479618429	TFAP2E	TFAP2E	3.78278699033375e-14	1.34098837207197e-13	-7.71142100273031	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
TECPR2	0.321847347530657	9.29930538461539	7.70952324089858	3.8354300803948e-14	1.35938439740914e-13	20.9761645892462	TECPR2	TECPR2	3.8354300803948e-14	1.35938439740914e-13	7.70952324089858	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
