feature_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	pvalue	padj	stat	layer	significant	direction	comparison	reference	contrast	method	protein_label	protein_base	gene	feature_type	mapping_class	mapping_source	include_in_gene_level_concordance	protein_key
Shc_pY317-R-E	-0.62431246025	-0.1154808294375	-1.76397914653092	0.142456597066512	0.18726688816255	-4.35618932868485	0.142456597066512	0.18726688816255	-1.76397914653092	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	Shc_pY317-R-E	Shc_pY317		phospho	unmapped		FALSE	shcpy317
Paxillin-R-C	0.0768945048728826	0.0495810325736842	1.43268096020877	0.153586722727013	0.200954590483942	-6.38124572181016	0.153586722727013	0.200954590483942	1.43268096020877	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	Paxillin-R-C	Paxillin	PXN	total	unique	curated_rppa_dict	TRUE	paxillin
SHP-2_pY542-R-C	0.0547143443967943	-0.0137540739470173	1.41225668485125	0.158362236773178	0.206239192076697	-6.96704670116683	0.158362236773178	0.206239192076697	1.41225668485125	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	SHP-2_pY542-R-C	SHP-2_pY542		phospho	unmapped		FALSE	shp2py542
ETS-1-R-V	-0.0404182965676483	0.103732906281397	-1.38573540475294	0.166312170433528	0.215589850561981	-7.00405020428266	0.166312170433528	0.215589850561981	-1.38573540475294	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	ETS-1-R-V	ETS-1	ETS1	total	unique	curated_rppa_dict	TRUE	ets1
Src_pY527-R-V	0.0753099569103397	0.106835616676217	1.36951675204464	0.171319911996845	0.221057950963671	-7.02633550072011	0.171319911996845	0.221057950963671	1.36951675204464	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	Src_pY527-R-V	Src_pY527		phospho	unmapped		FALSE	srcpy527
DJ-1-R-E	-0.509507841916667	-0.0437459496875	-1.57104325011987	0.181364150557637	0.232944780532745	-4.54460945998242	0.181364150557637	0.232944780532745	-1.57104325011987	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	DJ-1-R-E	DJ-1	PARK7	total	unique	curated_rppa_dict	TRUE	dj1
14-3-3_beta-R-V	0.0281845025723665	0.0290816650616169	1.27653057454581	0.202232734339215	0.257968439443335	-7.14906731104587	0.202232734339215	0.257968439443335	1.27653057454581	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	14-3-3_beta-R-V	14-3-3_beta	YWHAB	total	unique	curated_rppa_dict	TRUE	1433beta
EPPK1-M-E	0.79975385475	-0.8237728386875	1.48224179100285	0.202689488134049	0.257968439443335	-4.63036352150441	0.202689488134049	0.257968439443335	1.48224179100285	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	EPPK1-M-E	EPPK1	EPPK1	total	unique	curated_rppa_dict	TRUE	eppk1
ERCC1-M-V	-0.0235420063183313	-0.0493026705852	-1.22975746821988	0.219250175252297	0.277783027468974	-7.19565716931803	0.219250175252297	0.277783027468974	-1.22975746821988	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	ERCC1-M-V	ERCC1	ERCC1	total	unique	curated_rppa_dict	TRUE	ercc1
p90RSK_pT359_S363-R-C	-0.0320511243822446	-0.0153229412570644	-1.20516411970311	0.228587013765873	0.28830794529029	-7.23744192183874	0.228587013765873	0.28830794529029	-1.20516411970311	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	p90RSK_pT359_S363-R-C	p90RSK_pT359_S363		phospho	unmapped		FALSE	p90rskpt359s363
PRDX1-R-E	-0.0369285926759871	0.0187116611667975	-1.19372275976247	0.23303034775299	0.292594158613619	-7.25113944471032	0.23303034775299	0.292594158613619	-1.19372275976247	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	PRDX1-R-E	PRDX1	PRDX1	total	unique	curated_rppa_dict	TRUE	prdx1
MEK1_pS217_S221-R-V	0.0370461061294338	0.0307772084870487	1.11246618843996	0.26635698566593	0.332946232082412	-7.3446759392944	0.26635698566593	0.332946232082412	1.11246618843996	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	MEK1_pS217_S221-R-V	MEK1_pS217_S221		phospho	unmapped		FALSE	mek1ps217s221
Fibronectin-R-V	0.0946443789025432	0.048526370330063	1.10258478700751	0.270623485354686	0.33387871455704	-7.35560294543027	0.270623485354686	0.33387871455704	1.10258478700751	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	Fibronectin-R-V	Fibronectin	FN1	total	unique	curated_rppa_dict	TRUE	fibronectin
PKC-pan_BetaII_pS660-R-V	-0.0464238956035804	0.0597443545639718	-1.10206988707784	0.270847083987016	0.33387871455704	-7.35616966754418	0.270847083987016	0.33387871455704	-1.10206988707784	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	PKC-pan_BetaII_pS660-R-V	PKC-pan_BetaII_pS660		phospho	unmapped		FALSE	pkcpanbetaiips660
CD49b-M-V	0.0374584135289453	-0.0130104257994505	1.09775804600897	0.272724510044309	0.33387871455704	-7.36090512375237	0.272724510044309	0.33387871455704	1.09775804600897	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	CD49b-M-V	CD49b	ITGA2	total	unique	curated_rppa_dict	TRUE	cd49b
ERK2-R-E	0.046616451871202	0.0202706348237834	1.09721742247478	0.272960531942146	0.33387871455704	-7.36149755590082	0.272960531942146	0.33387871455704	1.09721742247478	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	ERK2-R-E	ERK2	MAPK1	total	unique	curated_rppa_dict	TRUE	erk2
Shc_pY317-R-V	-0.0435211162642217	-0.0335100070600472	-1.09697802432494	0.273065091548436	0.33387871455704	-7.36175980299293	0.273065091548436	0.33387871455704	-1.09697802432494	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	Shc_pY317-R-V	Shc_pY317		phospho	unmapped		FALSE	shcpy317
Heregulin-R-V	-0.027366511833302	0.0891041418253532	-1.08857187335233	0.276753980095604	0.336774523995265	-7.37093211722636	0.276753980095604	0.336774523995265	-1.08857187335233	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	Heregulin-R-V	Heregulin		total	ambiguous_or_pan	curated_ambiguous_or_pan	FALSE	heregulin
XBP1-G-C	-0.0323282451456632	-0.0293386221063579	-1.08611398751468	0.277838982296093	0.336774523995265	-7.37360074082587	0.277838982296093	0.336774523995265	-1.08611398751468	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	XBP1-G-C	XBP1	XBP1	total	unique	curated_rppa_dict	TRUE	xbp1
YAP_pS127-R-E	-0.0881123760750585	0.0747998457526316	-1.07850150851303	0.282172668832852	0.340553221005167	-6.82291999573684	0.282172668832852	0.340553221005167	-1.07850150851303	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	YAP_pS127-R-E	YAP_pS127		phospho	unmapped		FALSE	yapps127
Chk1-M-C	0.35615412075	-0.2100615651875	1.19177433961408	0.29064054093637	0.347967831873094	-4.90074750087345	0.29064054093637	0.347967831873094	1.19177433961408	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	Chk1-M-C	Chk1	CHEK1	total	unique	curated_rppa_dict	TRUE	chk1
CD20-R-C	0.0267591460105207	0.0389003289109105	1.05566277638274	0.291522113239176	0.347967831873094	-7.40616430045378	0.291522113239176	0.347967831873094	1.05566277638274	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	CD20-R-C	CD20	MS4A1	total	unique	curated_rppa_dict	TRUE	cd20
Rad51-R-V	0.56705430175	-0.0599024609375	1.18784179481412	0.292044430322061	0.347967831873094	-4.90425493464219	0.292044430322061	0.347967831873094	1.18784179481412	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	Rad51-R-V	Rad51	RAD51	total	unique	curated_rppa_dict	TRUE	rad51
HER3_pY1289-R-V	0.0415087066623305	0.0779294516017363	1.02856370947644	0.304300680767772	0.361034705995662	-7.209144406161	0.304300680767772	0.361034705995662	1.02856370947644	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	HER3_pY1289-R-V	HER3_pY1289		phospho	unmapped		FALSE	her3py1289
N-Cadherin-R-V	-0.0291086321317228	0.0288874080757457	-1.01946600991959	0.308368416141284	0.364317116116285	-7.44367159110533	0.308368416141284	0.364317116116285	-1.01946600991959	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	N-Cadherin-R-V	N-Cadherin	CDH2	total	unique	curated_rppa_dict	TRUE	ncadherin
Cyclin_E2-R-C	-0.0252835218163631	0.0727002308284929	-0.999362073503377	0.317998409288367	0.374115775633373	-7.46394004797932	0.317998409288367	0.374115775633373	-0.999362073503377	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	Cyclin_E2-R-C	Cyclin_E2	CCNE2	total	unique	curated_rppa_dict	TRUE	cycline2
Caspase-3-R-E	0.516467658083333	0.7848210158125	1.08182214003613	0.332251072892201	0.389248118869524	-4.99673101525822	0.332251072892201	0.389248118869524	1.08182214003613	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	Caspase-3-R-E	Caspase-3	CASP3	total	unique	curated_rppa_dict	TRUE	caspase3
